Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_5:Line_1_5),RLGC1[1 2] - (Line_1_5:Line_2_6),RLGC1[1 3] - (Line_1_5:Line_3_7),RLGC1[1 4] - (Line_1_5:Line_4_8),RLGC1[2 2] - (Line_2_6:Line_2_6),RLGC1[2 3] - (Line_2_6:Line_3_7),RLGC1[2 4] - (Line_2_6:Line_4_8),RLGC1[3 3] - (Line_3_7:Line_3_7),RLGC1[3 4] - (Line_3_7:Line_4_8),RLGC1[4 4] - (Line_4_8:Line_4_8)
1e+08,Resistance,0.0427026,0.00435977,0.0017251,0.000699529,0.0432495,0.00559582,0.00172756,0.0432163,0.00427444,0.0423139
1e+08,Inductance,2.11684e-09,7.60449e-10,2.31181e-10,1.25554e-10,2.10286e-09,4.72806e-10,2.31217e-10,2.10236e-09,7.60674e-10,2.11785e-09
1e+08,Conductance,6.19198e-06,-1.2014e-06,-4.70987e-09,-2.40418e-09,6.23319e-06,-5.07747e-07,-4.28371e-09,6.23887e-06,-1.2135e-06,6.17805e-06
1e+08,Capacitance,4.37186e-13,-1.08595e-13,-4.26828e-15,-1.53296e-15,4.44958e-13,-5.17118e-14,-4.25303e-15,4.45094e-13,-1.08615e-13,4.36456e-13
2e+08,Resistance,0.0522936,0.00515959,0.00203989,0.000808122,0.0529291,0.00677485,0.0020494,0.0528547,0.00505459,0.0516904
2e+08,Inductance,2.10796e-09,7.59624e-10,2.30886e-10,1.25456e-10,2.09386e-09,4.71674e-10,2.3092e-10,2.09338e-09,7.5986e-10,2.10909e-09
2e+08,Conductance,9.00762e-06,-1.73968e-06,-9.73222e-09,-3.49939e-09,9.06594e-06,-7.31943e-07,-9.2168e-09,9.0735e-06,-1.75565e-06,8.98662e-06
2e+08,Capacitance,4.3553e-13,-1.08282e-13,-4.2692e-15,-1.53168e-15,4.43293e-13,-5.15743e-14,-4.25396e-15,4.43427e-13,-1.08302e-13,4.34804e-13
3e+08,Resistance,0.064202,0.00580468,0.00237424,0.000890164,0.0649832,0.00817855,0.00239729,0.0648587,0.00573057,0.063271
3e+08,Inductance,2.09988e-09,7.59018e-10,2.30586e-10,1.25347e-10,2.0857e-09,4.70672e-10,2.30614e-10,2.08524e-09,7.59251e-10,2.10115e-09
3e+08,Conductance,1.31621e-05,-2.47177e-06,-2.15676e-08,-9.86422e-10,1.32282e-05,-1.04311e-06,-2.13725e-08,1.32357e-05,-2.48251e-06,1.31321e-05
3e+08,Capacitance,4.33707e-13,-1.07922e-13,-4.25852e-15,-1.5311e-15,4.41459e-13,-5.14356e-14,-4.24322e-15,4.41594e-13,-1.07943e-13,4.32987e-13
4e+08,Resistance,0.0743166,0.00639106,0.0026175,0.000923296,0.0752442,0.00937217,0.00265266,0.0750703,0.00634125,0.0730623
4e+08,Inductance,2.09532e-09,7.5877e-10,2.30433e-10,1.25304e-10,2.08107e-09,4.70122e-10,2.30459e-10,2.08063e-09,7.58999e-10,2.09668e-09
4e+08,Conductance,1.73353e-05,-3.2132e-06,-2.62327e-08,2.8447e-09,1.7409e-05,-1.36897e-06,-2.61557e-08,1.74179e-05,-3.22114e-06,1.7299e-05
4e+08,Capacitance,4.32503e-13,-1.07703e-13,-4.24931e-15,-1.53079e-15,4.40253e-13,-5.13461e-14,-4.23401e-15,4.40388e-13,-1.07725e-13,4.31786e-13
5e+08,Resistance,0.0836199,0.0070306,0.00284386,0.000958804,0.0846652,0.0104768,0.00289044,0.0844435,0.00699222,0.0820538
5e+08,Inductance,2.09218e-09,7.58587e-10,2.3034e-10,1.25282e-10,2.07789e-09,4.69746e-10,2.30362e-10,2.07747e-09,7.58815e-10,2.09363e-09
5e+08,Conductance,2.16113e-05,-3.99559e-06,-2.81219e-08,6.03174e-09,2.16984e-05,-1.70989e-06,-2.80581e-08,2.17094e-05,-4.00316e-06,2.15675e-05
5e+08,Capacitance,4.31568e-13,-1.07532e-13,-4.24331e-15,-1.52949e-15,4.39315e-13,-5.12721e-14,-4.22802e-15,4.3945e-13,-1.07554e-13,4.30852e-13
6e+08,Resistance,0.0922403,0.00764341,0.00306334,0.0010031,0.0933756,0.0114982,0.00312095,0.0931102,0.00760931,0.0903768
6e+08,Inductance,2.08979e-09,7.58426e-10,2.30273e-10,1.25266e-10,2.07547e-09,4.69459e-10,2.30293e-10,2.07506e-09,7.58654e-10,2.0913e-09
6e+08,Conductance,2.59298e-05,-4.79376e-06,-3.08379e-08,8.531e-09,2.60338e-05,-2.05341e-06,-3.0763e-08,2.60468e-05,-4.80217e-06,2.58773e-05
6e+08,Capacitance,4.30786e-13,-1.07385e-13,-4.23874e-15,-1.5271e-15,4.3853e-13,-5.12071e-14,-4.22347e-15,4.38665e-13,-1.07406e-13,4.30071e-13
7e+08,Resistance,0.100204,0.00818556,0.00327161,0.00105043,0.101414,0.0124368,0.00333978,0.10111,0.00815248,0.0980549
7e+08,Inductance,2.08788e-09,7.58289e-10,2.3022e-10,1.25254e-10,2.07354e-09,4.69231e-10,2.30238e-10,2.07314e-09,7.58516e-10,2.08945e-09
7e+08,Conductance,3.02439e-05,-5.58999e-06,-3.50783e-08,1.08209e-08,3.03649e-05,-2.39364e-06,-3.49912e-08,3.03801e-05,-5.59982e-06,3.01825e-05
7e+08,Capacitance,4.30115e-13,-1.07255e-13,-4.23439e-15,-1.52384e-15,4.37856e-13,-5.11496e-14,-4.21912e-15,4.3799e-13,-1.07276e-13,4.29402e-13
8e+08,Resistance,0.107592,0.00866376,0.0034653,0.00109523,0.108873,0.0133042,0.00354344,0.108533,0.00863055,0.105168
8e+08,Inductance,2.08633e-09,7.58177e-10,2.30179e-10,1.25244e-10,2.07197e-09,4.69047e-10,2.30195e-10,2.07157e-09,7.58404e-10,2.08794e-09
8e+08,Conductance,3.45422e-05,-6.38056e-06,-3.99258e-08,1.33438e-08,3.46791e-05,-2.73067e-06,-3.98305e-08,3.46966e-05,-6.39208e-06,3.44724e-05
8e+08,Capacitance,4.29533e-13,-1.07141e-13,-4.2297e-15,-1.51998e-15,4.3727e-13,-5.10985e-14,-4.21444e-15,4.37404e-13,-1.07162e-13,4.28821e-13
9e+08,Resistance,0.114544,0.00911236,0.00364474,0.00113501,0.115891,0.0141193,0.00373234,0.115519,0.00907905,0.111854
9e+08,Inductance,2.08504e-09,7.58088e-10,2.30146e-10,1.25237e-10,2.07067e-09,4.68896e-10,2.3016e-10,2.07028e-09,7.58315e-10,2.0867e-09
9e+08,Conductance,3.88379e-05,-7.17013e-06,-4.39761e-08,1.63879e-08,3.89903e-05,-3.06741e-06,-4.38759e-08,3.901e-05,-7.18326e-06,3.87598e-05
9e+08,Capacitance,4.29023e-13,-1.0704e-13,-4.22453e-15,-1.51569e-15,4.36757e-13,-5.10526e-14,-4.20928e-15,4.3689e-13,-1.07061e-13,4.28312e-13
1e+09,Resistance,0.12122,0.00957411,0.00381319,0.00116992,0.122624,0.0149037,0.0039099,0.122225,0.00954166,0.118277
1e+09,Inductance,2.08397e-09,7.58018e-10,2.3012e-10,1.25233e-10,2.06958e-09,4.68771e-10,2.30133e-10,2.0692e-09,7.58244e-10,2.08566e-09
1e+09,Conductance,4.31548e-05,-7.96632e-06,-4.59185e-08,2.01236e-08,4.33248e-05,-3.4074e-06,-4.58083e-08,4.33465e-05,-7.98062e-06,4.30675e-05
1e+09,Capacitance,4.28572e-13,-1.06949e-13,-4.21892e-15,-1.5111e-15,4.36302e-13,-5.10107e-14,-4.20368e-15,4.36435e-13,-1.06969e-13,4.27861e-13
