R,L,G,C
1.00E+08,1.00E+08,1.00E+08,1.00E+08
6.906563105,4.19E-07,0.000851078,8.64E-11
0.682416192,1.50E-07,-0.000157489,-2.14E-11
7.004584896,4.16E-07,0.000854578,8.79E-11
0.283791041,4.56E-08,-1.13E-06,-8.39E-13
0.908569649,9.34E-08,-6.75E-05,-1.02E-11
7.004887839,4.16E-07,0.00085501,8.80E-11
0.114529924,2.47E-08,1.92E-07,-3.02E-13
0.283840437,4.56E-08,-1.12E-06,-8.36E-13
0.676674129,1.50E-07,-0.000157773,-2.14E-11
6.856349045,4.19E-07,0.000849354,8.63E-11
2.00E+08,2.00E+08,2.00E+08,2.00E+08
10.30113018,4.15E-07,0.001771926,8.58E-11
1.016369992,1.50E-07,-0.000342219,-2.13E-11
10.42632538,4.12E-07,0.0017834,8.73E-11
0.401831409,4.55E-08,-1.91E-06,-8.41E-13
1.334554597,9.29E-08,-0.000143984,-1.02E-11
10.41166365,4.12E-07,0.001784885,8.73E-11
0.159189177,2.47E-08,-6.88E-07,-3.02E-13
0.403705269,4.55E-08,-1.81E-06,-8.38E-13
0.995686998,1.50E-07,-0.000345361,-2.13E-11
10.18231608,4.15E-07,0.001767794,8.57E-11
3.00E+08,3.00E+08,3.00E+08,3.00E+08
12.64693106,4.14E-07,0.002589168,8.54E-11
1.143445083,1.50E-07,-0.000486233,-2.13E-11
12.80083132,4.11E-07,0.002602172,8.70E-11
0.467693919,4.54E-08,-4.24E-06,-8.39E-13
1.611065693,9.27E-08,-0.000205195,-1.01E-11
12.77628782,4.11E-07,0.00260365,8.70E-11
0.175350394,2.47E-08,-1.94E-07,-3.02E-13
0.472234182,4.54E-08,-4.20E-06,-8.36E-13
1.128844953,1.50E-07,-0.000488345,-2.13E-11
12.46352802,4.14E-07,0.002583268,8.53E-11
4.00E+08,4.00E+08,4.00E+08,4.00E+08
14.63939198,4.13E-07,0.003410106,8.52E-11
1.258953352,1.49E-07,-0.000632083,-2.12E-11
14.82210136,4.10E-07,0.003424594,8.67E-11
0.515612772,4.54E-08,-5.16E-06,-8.37E-13
1.846192711,9.26E-08,-0.000269297,-1.01E-11
14.78784186,4.10E-07,0.003426344,8.68E-11
0.181877091,2.47E-08,5.60E-07,-3.02E-13
0.522538674,4.54E-08,-5.15E-06,-8.34E-13
1.249142619,1.50E-07,-0.000633645,-2.12E-11
14.39228693,4.13E-07,0.003402966,8.51E-11
5.00E+08,5.00E+08,5.00E+08,5.00E+08
16.47200157,4.12E-07,0.004251254,8.50E-11
1.384934013,1.49E-07,-0.000785989,-2.12E-11
16.67790545,4.09E-07,0.004268388,8.65E-11
0.560202213,4.54E-08,-5.53E-06,-8.36E-13
2.063788504,9.25E-08,-0.00033636,-1.01E-11
16.63424819,4.09E-07,0.004270539,8.66E-11
0.188871729,2.47E-08,1.19E-06,-3.01E-13
0.569378652,4.54E-08,-5.52E-06,-8.33E-13
1.377373107,1.49E-07,-0.000787479,-2.12E-11
16.16349826,4.12E-07,0.004242636,8.49E-11
6.00E+08,6.00E+08,6.00E+08,6.00E+08
18.17011828,4.12E-07,0.005100762,8.49E-11
1.505648952,1.49E-07,-0.000943001,-2.12E-11
18.3937398,4.09E-07,0.005121211,8.64E-11
0.603436924,4.54E-08,-6.07E-06,-8.35E-13
2.264998191,9.25E-08,-0.000403935,-1.01E-11
18.34147659,4.09E-07,0.005123777,8.64E-11
0.197597474,2.47E-08,1.68E-06,-3.01E-13
0.614786561,4.54E-08,-6.05E-06,-8.32E-13
1.498931334,1.49E-07,-0.000944655,-2.12E-11
17.80301996,4.12E-07,0.005090429,8.47E-11
7.00E+08,7.00E+08,7.00E+08,7.00E+08
19.73880326,4.11E-07,0.005949399,8.47E-11
1.612446501,1.49E-07,-0.00109963,-2.11E-11
19.97721181,4.08E-07,0.005973202,8.63E-11
0.644464054,4.54E-08,-6.90E-06,-8.34E-13
2.449893572,9.24E-08,-0.000470863,-1.01E-11
19.91722839,4.08E-07,0.00597619,8.63E-11
0.206920291,2.47E-08,2.13E-06,-3.00E-13
0.65789099,4.54E-08,-6.88E-06,-8.31E-13
1.605932463,1.49E-07,-0.001101564,-2.11E-11
19.31551095,4.12E-07,0.005937328,8.46E-11
8.00E+08,8.00E+08,8.00E+08,8.00E+08
21.19426813,4.11E-07,0.006794944,8.46E-11
1.706646352,1.49E-07,-0.001255146,-2.11E-11
21.44648843,4.08E-07,0.00682188,8.61E-11
0.682617884,4.53E-08,-7.85E-06,-8.33E-13
2.620744225,9.24E-08,-0.000537162,-1.01E-11
21.37958398,4.08E-07,0.006825307,8.62E-11
0.2157462,2.47E-08,2.62E-06,-2.99E-13
0.698010958,4.53E-08,-7.84E-06,-8.30E-13
1.700104153,1.49E-07,-0.001257412,-2.11E-11
20.71677203,4.11E-07,0.006781221,8.45E-11
9.00E+08,9.00E+08,9.00E+08,9.00E+08
22.56356241,4.11E-07,0.007639961,8.45E-11
1.795012716,1.49E-07,-0.001410466,-2.11E-11
22.82888587,4.08E-07,0.007669958,8.60E-11
0.717964565,4.53E-08,-8.65E-06,-8.32E-13
2.781310092,9.24E-08,-0.000603404,-1.01E-11
22.75579286,4.08E-07,0.007673829,8.61E-11
0.223581535,2.47E-08,3.22E-06,-2.99E-13
0.735222872,4.53E-08,-8.63E-06,-8.29E-13
1.78845278,1.49E-07,-0.001413049,-2.11E-11
22.0338052,4.11E-07,0.0076246,8.44E-11
1.00E+09,1.00E+09,1.00E+09,1.00E+09
23.87876261,4.11E-07,0.008489164,8.44E-11
1.885970198,1.49E-07,-0.00156709,-2.11E-11
24.15519909,4.08E-07,0.008522597,8.59E-11
0.751146815,4.53E-08,-9.03E-06,-8.31E-13
2.93583253,9.23E-08,-0.000670284,-1.00E-11
24.07668354,4.08E-07,0.008526868,8.60E-11
0.230459638,2.47E-08,3.96E-06,-2.98E-13
0.770199028,4.53E-08,-9.01E-06,-8.28E-13
1.879579576,1.49E-07,-0.001569902,-2.11E-11
23.29895651,4.11E-07,0.008471994,8.43E-11
