Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_5:Line_1_5),RLGC1[1 2] - (Line_1_5:Line_2_6),RLGC1[1 3] - (Line_1_5:Line_3_7),RLGC1[1 4] - (Line_1_5:Line_4_8),RLGC1[2 2] - (Line_2_6:Line_2_6),RLGC1[2 3] - (Line_2_6:Line_3_7),RLGC1[2 4] - (Line_2_6:Line_4_8),RLGC1[3 3] - (Line_3_7:Line_3_7),RLGC1[3 4] - (Line_3_7:Line_4_8),RLGC1[4 4] - (Line_4_8:Line_4_8)
1e+08,Resistance,0.0350808,0.00350068,0.00147409,0.000612748,0.0355896,0.00464677,0.0014748,0.035591,0.00347509,0.0348396
1e+08,Inductance,2.129e-09,7.63467e-10,2.3312e-10,1.27179e-10,2.11502e-09,4.75839e-10,2.33157e-10,2.11454e-09,7.63674e-10,2.12985e-09
1e+08,Conductance,4.32208e-06,-7.99671e-07,-5.72961e-09,9.8786e-10,4.34034e-06,-3.42692e-07,-5.71357e-09,4.34238e-06,-8.0102e-07,4.31376e-06
1e+08,Capacitance,4.38812e-13,-1.08885e-13,-4.26145e-15,-1.53557e-15,4.46636e-13,-5.18603e-14,-4.2467e-15,4.46764e-13,-1.08909e-13,4.38121e-13
2e+08,Resistance,0.0523787,0.00525453,0.00204111,0.000856129,0.0530803,0.0068732,0.00204585,0.0530326,0.00517012,0.0518098
2e+08,Inductance,2.11128e-09,7.61756e-10,2.3251e-10,1.26997e-10,2.09704e-09,4.73496e-10,2.32547e-10,2.09659e-09,7.61985e-10,2.11234e-09
2e+08,Conductance,8.98905e-06,-1.73206e-06,1.00114e-08,-9.82142e-09,9.04125e-06,-7.41869e-07,1.16497e-08,9.04607e-06,-1.75428e-06,8.97151e-06
2e+08,Capacitance,4.35728e-13,-1.08326e-13,-4.26415e-15,-1.53889e-15,4.43529e-13,-5.15862e-14,-4.25008e-15,4.43652e-13,-1.08342e-13,4.3504e-13
3e+08,Resistance,0.064301,0.0059714,0.00243099,0.000992691,0.0651555,0.00829235,0.00245196,0.0650631,0.00591541,0.0634199
3e+08,Inductance,2.10317e-09,7.61105e-10,2.3223e-10,1.26882e-10,2.08883e-09,4.72507e-10,2.32261e-10,2.0884e-09,7.61335e-10,2.10436e-09
3e+08,Conductance,1.31451e-05,-2.47057e-06,-5.44224e-09,-7.74897e-09,1.32036e-05,-1.04422e-06,-4.7385e-09,1.3206e-05,-2.48371e-06,1.31181e-05
